id,county,project name,description of the farm,soil depth cm,soil ph,soil ph class,exch acidity me,total nitrogen,total nitrogenclass,total org carbon,total org carbonclass,phosphorus olsen,phosphorus olsen class,potassium meq,potassium meqclass,calcium meq,calcium meqclass,magnesium meq,magnesium meqclass,manganese meq,manganese meqclass,copper,copper class,iron,iron class,zinc,zinc class,sodium meq,sodium meqclass,final latitude,final longitude,crop,fertilizer recommendation
1386,Nakuru,Individual,"Keringet, Kuresoi South, Nakuru",,4.7,strong acid,0.4,0.31,adequate,3.11,moderate,15.0,low,0.88,adequate,2.7,adequate,1.87,adequate,0.56,adequate,4.29,adequate,286.0,adequate,25.2,adequate,0.22,adequate,-0.484889388,36.14855194,Potato,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Soil organic matter is sufficient. 
Potato: At planting time apply in the ridge 1 ton/acre of well decomposed manure or compost and 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). The manure and fertilizer should be well worked into the soil to avoid close contact with potato seeds. "
1397,Nakuru,Individual,"Mai Mahiu, Naivasha, Nakuru",,6.35,slight acid,0.5,0.2,adequate,1.92,moderate,90.0,high,3.99,high,27.3,high,4.23,high,0.16,adequate,1.0,adequate,121.0,adequate,83.2,adequate,2.55,high,-0.484889388,36.14855194,"Tomato, melons, onion",The soil pH is satisfactory for crops' growth. Soil organic matter content should be improved. At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
1398,Nakuru,Individual,"Rongai, Nakuru",,6.57,slight acid,0.5,0.27,low,2.63,moderate,35.0,adequate,2.31,high,7.9,adequate,2.71,adequate,0.38,adequate,1.63,adequate,26.6,adequate,6.87,adequate,0.66,adequate,-0.484889388,36.14855194,French beans,"The soil pH is satisfactory for crops' growth. Phosphorus is at deficiency threshold level. Soil organic matter content should be improved. 
French beans: At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 60 kg/acre of single superphosphate (SSP). Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) at 2-3 leave stage and 80 kg/acre at the onset of flowering. "
1399,Nakuru,Individual,"Rongai, Nakuru",,6.42,slight acid,0.5,0.34,low,3.35,moderate,75.0,adequate,1.36,adequate,4.1,adequate,3.49,high,0.83,adequate,1.0,adequate,22.5,adequate,5.02,adequate,0.34,adequate,-0.484889388,36.14855194,Grass,"The soil pH is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Grass: Apply 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. "
1400,Nakuru,Individual,"Rongai, Nakuru",,6.87,near neutral,0.5,0.32,adequate,3.15,moderate,40.0,adequate,1.1,adequate,3.5,adequate,2.88,adequate,0.72,adequate,1.61,adequate,22.0,adequate,6.04,adequate,0.3,adequate,-0.484889388,36.14855194,"Grass, coffee","The soil pH is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Grass: Apply 1 ton/acre of well decomposed manure or compost. 
Coffee: Coffee grows best on fertile soils with pH of 5.3-6.0. An application of well decomposed manure or compost is recommended at the rate of 5 kg per tree per year in order to maintain adequate level of organic matter. Also apply 50 gm/tree of DAP in 3-4 equal applications per year. All nutrient material should be worked lightly with a fork jembe into the soil under a tree canopy. "
1419,Nakuru,Individual,"Munanda, Subukia, Nakuru",,4.79,strong acid,0.4,0.14,adequate,1.37,moderate,10.0,low,1.2,adequate,3.5,adequate,2.31,adequate,0.12,adequate,1.91,adequate,51.2,adequate,6.19,adequate,0.34,adequate,-0.484889388,36.14855194,"Tomato, capsicum, melons","The soil reaction (pH) is acidic for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter should be improved. At land preparation apply through broadcasting 3 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Tomato: At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. At the start of flowering top dress with 100 kg/acre of calcium ammonium nitrate (CAN). At early fruiting stage top dress with 50 kg/acre of CAN. 
Capsicum: At transplanting apply 120 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 50 kg/acre of CAN. Four weeks later apply 100 kg/acre of CAN. 
Melons: At planting time apply 120 kg/acre of N:P:K 23:23:0. After thinning top dress with 60 kg/acre of CAN followed by 120 kg/acre of CAN prior to flowering. "
1437,Nakuru,Individual,Nakuru,,5.13,medium acid,0.3,0.22,low,2.24,moderate,30.0,adequate,1.32,adequate,5.9,adequate,2.6,adequate,0.3,adequate,1.0,adequate,75.3,adequate,8.93,adequate,0.6,adequate,-0.484889388,36.14855194,Fruit trees,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Soil organic matter content should be improved. 
Fruit trees: At the beginning of rains apply 25 gm per tree of compaund fertilizer N:P:K 23:23:0. The fertilizer quantity should be split and applied by scattering in a ring round each tree one or two weeks after the onset of the rains. Manure or compost should be applied a bucket of 10 kg per tree per year. To determine the right amount of fertilizers, the soil should be tested annually. "
1438,Nakuru,Individual,Nakuru,,5.19,medium acid,0.3,0.23,low,2.28,moderate,50.0,adequate,1.46,adequate,5.9,adequate,2.43,adequate,0.28,adequate,1.11,adequate,85.5,adequate,10.5,adequate,0.58,adequate,-0.484889388,36.14855194,Fruit trees,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Soil organic matter content should be improved. 
Fruit trees: At the beginning of rains apply 25 gm per tree of compaund fertilizer N:P:K 23:23:0. The fertilizer quantity should be split and applied by scattering in a ring round each tree one or two weeks after the onset of the rains. Manure or compost should be applied a bucket of 10 kg per tree per year. To determine the right amount of fertilizers, the soil should be tested annually. "
1466,Nakuru,Individual,"Elmentaita, Naivasha",,7.74,medium alkaline,0.5,0.14,low,1.2,low,147.9,high,9.72,high,76.2,high,7.8,adequate,0.12,adequate,1.03,low,21.0,adequate,10.9,adequate,6.56,high,-0.484889388,36.14855194,"Maize, beans, simsim","Both fields have similar soil fertility condition. The soil pH is alkaline for crops' growth. Soil has very high values of phosphorus, potassium, calcium. Soil nitrogen and organic matter should be improved. Very high values of electrical conductivity and sodium in the Right side field suggest the possibility of saline-sodic condition under which yields of many crops restricted. The soil alkalinity may be reduced by applying elemental sulphur at the rate of 400 kg/acre. The amendment of alkali soils by the addition of sulphur is usually accompanied by irrigation to get water into the soil and, with good drainage, to carry off the excess and to remove unwanted products of the reaction between the sulphur and the soil. The soil treatment should be done at least 4 weeks before planting. 
Maize/ 
Beans: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting apply 80 kg/acre of ammonium sulphate (AS). When maize is about a knee high, top-dress with 50 kg/acre of AS. 
Simsim: Simsim is often sown with other crops such as sorghum, maize or pigeon pea. 
"
1467,Nakuru,Individual,"Elmentaita, Naivasha",,7.44,slight alkaline,0.5,0.15,low,1.27,low,63.7,high,3.75,high,17.8,high,6.62,adequate,1.14,adequate,0.72,low,41.4,adequate,13.9,adequate,0.94,adequate,-0.484889388,36.14855194,"Maize, beans, simsim","Both fields have similar soil fertility condition. The soil pH is alkaline for crops' growth. Soil has very high values of phosphorus, potassium, calcium. Soil nitrogen and organic matter should be improved. Very high values of electrical conductivity and sodium in the Right side field suggest the possibility of saline-sodic condition under which yields of many crops restricted. The soil alkalinity may be reduced by applying elemental sulphur at the rate of 400 kg/acre. The amendment of alkali soils by the addition of sulphur is usually accompanied by irrigation to get water into the soil and, with good drainage, to carry off the excess and to remove unwanted products of the reaction between the sulphur and the soil. The soil treatment should be done at least 4 weeks before planting. 
Maize/ 
Beans: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting apply 80 kg/acre of ammonium sulphate (AS). When maize is about a knee high, top-dress with 50 kg/acre of AS. 
Simsim: Simsim is often sown with other crops such as sorghum, maize or pigeon pea. 
"
2093,Nakuru,Individual,"Bahati, Nakuru",,5.27,medium acid,0.2,0.25,low,3.21,moderate,19.0,low,1.08,adequate,13.7,adequate,2.34,adequate,1.98,adequate,0.44,low,84.9,adequate,19.7,adequate,0.48,adequate,-0.484889388,36.14855194,"Tomato, vegetables","The soil reaction (pH) is satisfactory for crops' growth. Phosphorus is deficient. Soil copper and organic matter should be improved. 
Tomato: Prior to transplanting apply 1 ton/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of single superphosphate (SSP). Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 80 kg/acre of CAN at the start of flowering is beneficial. 
Vegetables: At transplanting time use 1 ton/acre of well decomposed manure or compost. Also apply 100 kg/acre of SSP. Top dress with 50 kg/acre of CAN when plants are 20 cm high followed by 50 kg/acre of CAN 3-4 weeks later."
2131,Nakuru,Individual,"Lanet, Bahati, Nakuru",,4.79,strong acid,0.4,0.21,low,2.08,moderate,15.0,low,0.5,adequate,3.7,adequate,2.59,adequate,0.6,adequate,1.68,adequate,183.0,adequate,5.64,adequate,0.52,adequate,-0.484889388,36.14855194,"Capsicum, tomato","The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Phosphorus is deficient. Soil organic matter should be improved. At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Capsicum: At planting time apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 50 kg/acre of calcium ammonium nitrate (CAN). Four weeks later apply 100 kg/acre of CAN. 
Tomato: At planting time apply 100 kg/acre of N:P:K 23:23:0. At the start of flowering top dress with 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. "
2135,Nakuru,Individual,"Bahati, Nakuru",,5.08,medium acid,0.3,0.31,adequate,3.1,moderate,70.0,adequate,3.99,high,12.5,adequate,3.24,high,0.71,adequate,2.89,adequate,181.0,adequate,28.9,adequate,1.35,adequate,-0.484889388,36.14855194,Capsicum,"The soil reaction (pH) is acidic for crops' growth. Soil organic matter is sufficient. 
Capsicum: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When plants are 15 cm high top dress with 30 kg/acre of calcium ammonium nitrate (CAN). Four weeks later apply 60 kg/acre of CAN. "
2149,Nakuru,Individual,"Gilgil, Nakuru ",,4.72,strong acid,0.5,0.19,low,1.94,moderate,15.0,low,1.28,adequate,5.7,adequate,3.63,high,0.62,adequate,2.39,adequate,99.0,adequate,4.55,low,0.52,adequate,-0.484889388,36.14855194,"Tomato, onion, cabbage","The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Tomato: At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. At the start of flowering top dress with 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Onion: At planting time apply along the drill line apply 100 kg/acre of N:P:K 23:23:0. One month after planting top dress with 80 kg/acre of CAN. 
Cabbage: At planting time apply 100 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 100 kg/acre when leaves start to fold."
2180,Nakuru,Individual,"Bahati, Nakuru",,5.51,medium acid,0.5,0.12,low,1.18,low,15.0,low,1.4,adequate,5.3,adequate,2.34,adequate,0.72,adequate,1.33,adequate,117.0,adequate,10.1,adequate,0.36,adequate,-0.484889388,36.14855194,"Mango, melons, beans","The soil reaction (pH) is satisfactory for plants' growth. Nitrogen and phosphorus are deficient. Soil organic matter should be improved. 
Mango: At transplanting apply 1 bucket of 20 kg of well decomposed manure or compost mixed well with 100 gm of compound fertilizer N:P:K 23:23:0 and top soil per planting hole. At the beginning of rains apply by scattering in a ring round each tree 50 gm per tree of calcium ammonium nitrate (CAN) in first year increasing at the rate of 50 gm/tree per year up to 200 gm. To determine the right amount of fertilizers, the soil should be tested annually. 
Melons: At land preparation apply through broadcasting 4 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 120 kg/acre of N:P:K 23:23:0. After thinning top dress with 60 kg/acre of CAN followed by 120 kg/acre of CAN prior to flowering. 
Beans: Before planting apply by incorporation into the soil along the ridges 4 tons/acre of well decomposed manure or compost and 100 kg/acre of N:P:K 23:23:0."
2184,Nakuru,Individual,"Naivasha, Nakuru",,6.05,slight acid,0.5,0.2,low,1.98,moderate,35.0,adequate,1.47,adequate,7.9,adequate,4.23,high,0.62,adequate,1.0,adequate,114.0,adequate,16.9,adequate,0.7,adequate,-0.484889388,36.14855194,"Capsicum, onion, tomato","The soil pH is satisfactory for crops' growth. Nitrogen and phosphorus are at deficiency threshold level. Soil organic matter should be improved. At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Capsicum: At planting apply 60 kg/acre of compound fertilizer N:P:K 23:23:0. When plants are 15 cm high top dress with 50 kg/acre of calcium ammonium nitrate (CAN). Four weeks later apply 100 kg/acre of CAN. 
Onion: At planting apply 60 kg/acre of compound fertilizer N:P:K 23:23:0. One month after planting top dress with 60 kg/acre of CAN. 
Tomato: At planting apply 60 kg/acre of N:P:K 23:23:0. At the start of flowering apply 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. "
2555,Nakuru,Individual,GilGil,,5.91,medium acid,0.5,0.2,adequate,1.28,low,48.4,high,1.94,high,13.1,adequate,5.6,high,1.24,adequate,2.07,adequate,62.8,adequate,5.68,adequate,1.07,adequate,-0.463180989,36.25939178,"Spinach, tomato, cabbage","All fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Soil nitrogen and organic matter should be improved. 
Spinach: Before planting apply 5 tons/acre of well decomposed manure or compost and 100 kg/acre of ammonium sulphate nitrate (ASN). Top dress after 3 weeks with 50 kg/acre of ASN. 
Tomato: Prior to transplanting apply 5 tons/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of ASN. Top dress with 40 kg/acre of ASN when plants are 25 cm high. An application of 80 kg/acre of ASN four weeks later is beneficial. 
Cabbage: At transplanting time use 5 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of ASN. Top dress with 50 kg/acre of ASN when plants are 20 cm high followed by 50 kg/acre of ASN three weeks later."
2556,Nakuru,Individual,GilGil,,5.91,medium acid,0.5,0.19,adequate,1.22,low,31.6,high,2.87,high,17.7,high,5.45,high,1.24,adequate,2.61,adequate,28.5,adequate,9.91,adequate,1.53,adequate,-0.463180989,36.25939178,"Spinach, tomato, cabbage","All fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Soil nitrogen and organic matter should be improved. 
Spinach: Before planting apply 5 tons/acre of well decomposed manure or compost and 100 kg/acre of ammonium sulphate nitrate (ASN). Top dress after 3 weeks with 50 kg/acre of ASN. 
Tomato: Prior to transplanting apply 5 tons/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of ASN. Top dress with 40 kg/acre of ASN when plants are 25 cm high. An application of 80 kg/acre of ASN four weeks later is beneficial. 
Cabbage: At transplanting time use 5 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of ASN. Top dress with 50 kg/acre of ASN when plants are 20 cm high followed by 50 kg/acre of ASN three weeks later."
2557,Nakuru,Individual,GilGil,,5.91,medium acid,0.5,0.2,adequate,1.25,low,31.9,high,1.6,high,6.0,adequate,5.41,high,1.43,adequate,2.43,adequate,31.8,adequate,7.58,adequate,0.25,adequate,-0.463180989,36.25939178,"Spinach, tomato, cabbage","All fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Soil nitrogen and organic matter should be improved. 
Spinach: Before planting apply 5 tons/acre of well decomposed manure or compost and 100 kg/acre of ammonium sulphate nitrate (ASN). Top dress after 3 weeks with 50 kg/acre of ASN. 
Tomato: Prior to transplanting apply 5 tons/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of ASN. Top dress with 40 kg/acre of ASN when plants are 25 cm high. An application of 80 kg/acre of ASN four weeks later is beneficial. 
Cabbage: At transplanting time use 5 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of ASN. Top dress with 50 kg/acre of ASN when plants are 20 cm high followed by 50 kg/acre of ASN three weeks later."
2559,Nakuru,Individual,Gilgil,,7.26,slight alkaline,0.5,0.1,low,0.81,low,26.0,low,1.84,high,15.7,high,4.84,high,1.09,adequate,0.61,low,103.0,adequate,13.6,adequate,0.23,adequate,-0.484889388,36.14855194,"Tomato, capsicum","The soil reaction (pH) is alkaline for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter should be improved. 
Tomato: Prior to transplanting apply 4 kg per square metre of well decomposed manure or compost. When transplanting apply 100 kg/acre of diammonium phosphate (DAP). Topdress with 25 kg/acre of urea when plants are 25 cm high. An application of 50 kg/acre of urea four weeks later is beneficial. 
Capsicum: Put a handful of manure or compost in each planting hole. At transplanting apply 100 kg/acre of DAP. When plants are 15 cm high apply 25 kg/acre of urea. Four weeks later apply 25 kg/acre of urea."
2725,Nakuru,Individual,Nakuru,,7.81,medium alkaline,0.5,0.17,low,2.51,moderate,16.5,adequate,1.92,high,10.7,adequate,4.79,high,1.65,adequate,5.28,adequate,86.4,adequate,61.9,adequate,0.86,adequate,-0.484889388,36.14855194,"Tomato, capsicum, sugar snaps","The soil reaction (pH) is too alkaline for crops' growth. Nitrogen is deficient. The organic matter content should be improved. 
Tomato: Prior to transplanting apply 2 tons/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of ammonium sulphate (AS). Top dress with 50 kg/acre of AS when plants are 25 cm high. An application of 100 kg/acre of AS at the start of flowering is beneficial. 
Capsicum: During the land preparation apply 2 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of AS. When plants are 15 cm high top dress with 50 kg/acre of AS. Four weeks later apply 100 kg/acre of AS. 
Sugar snaps: During the land preparation add 2 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of AS. At flowering stage top dress with AS at the rate of 60 kg/acre."
2845,Nakuru,Individual,"Salgaa, Nakuru",,7.12,slight alkaline,0.5,0.29,low,2.63,moderate,62.5,high,3.56,high,17.8,high,3.6,adequate,1.24,adequate,4.75,adequate,195.0,adequate,1.42,low,2.87,high,-0.484889388,36.14855194,"Tomato, onion, vegetables","The soil reaction (pH) is alkaline for crops' growth. High values of sodium and electrical conductivity suggests the possibility of saline-sodic condition. Soil zinc and organic matter content should be improved. 
Tomato: Prior to transplanting apply 2 tons/acre of well decomposed manure or compost. Top dress with 50 kg/acre of ammonium sulphate (AS) when plants are 25 cm high. An application of 100 kg/acre of AS at the start of flowering is beneficial. 
Onion: During the land preparation apply 2 tons/acre of manure or compost. At transplanting time apply along the drill line 80 kg/acre of AS. 
Vegetables: At transplanting time use 2 tons/acre of well decomposed manure or compost. Top dress with 50 kg/acre of AS when plants are 20-25 cm high followed by 50 kg/acre of AS 3-4 weeks later. "
